20,15,01,

15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,11,13,08,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,11,12,08,06,
15,15,15,11,03,03,03,03,03,03,03,03,03,03,03,03,12,07,06,15,
15,15,11,13,05,05,05,05,05,05,05,05,05,05,05,05,05,02,15,15,
15,15,04,05,05,05,05,05,05,05,05,05,05,05,05,05,05,02,15,15,
15,15,04,05,05,05,05,05,05,05,05,05,05,05,05,05,05,02,15,15,
15,15,04,05,05,05,05,05,05,05,05,05,05,05,05,05,05,02,15,15,
15,15,04,05,05,05,05,05,05,05,05,05,05,05,05,05,05,02,15,15,
15,15,04,05,05,05,05,05,05,05,05,05,05,05,05,05,05,02,15,15,
15,15,04,05,05,05,05,05,05,05,05,05,05,05,05,05,05,02,15,15,
15,15,04,05,05,05,05,05,05,05,05,05,05,05,05,05,05,02,15,15,
15,15,04,05,05,05,05,05,05,05,05,05,05,05,05,05,08,06,15,15,
15,11,13,08,01,01,01,01,01,01,01,01,01,01,01,01,06,15,15,15,
11,12,07,06,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,
12,07,06,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,
